kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,reach_diff,age_diff,winrate_diff,winner
0.5,-7.5,-32.25,-0.75,141.25,0,-2,3,0.159090909,1
0,22.8,23.2,0.4,99.4,0,-2,5,0.133333333,1
0,10,14,1,72,-3,-1,2,-0.102564103,0
0,-17,-27,2,281,-1,0,-7,0.241025641,1
0,-11.5,16.5,6,496,1,0,-7,0.363636364,1
-0.05,1.45,17.4,3.35,215.75,0,0,2,0.131868132,1
-0.466666667,19.2,-22.93333333,-1.933333333,-173.4,-4,-5,0,-0.125,0
-0.75,33.45,75.65,1.75,187.05,-1,-2,-3,-0.033333333,1
0,31.4,63.2,0,0,1,-1,-4,0.311546841,1
-0.3,-9.6,6.3,3.6,354.9,-3,-2,6,0.084615385,1
-0.1,-1.4,15.25,2,163.8,0,1,0,-0.12543554,0
0,-3.6,-1.2,0.8,157.8,2,0,-2,0.035573123,1
0.2,-55.2,-64.3,0.1,40.8,0,-4,10,0.027093596,1
0.4,42.4,35.2,-0.8,-73.6,-2,-3,9,0,1
0.2,-6.8,27.4,0.4,73,3,5,2,-0.15,0
0.333333333,19,11.66666667,-1,-219.3333333,0,0,-1,-0.04040404,0
0,-39.5,-37.5,-0.5,-11,-2,0,-1,-0.166666667,0
0,12,46.4,-0.8,81.4,2,0,-1,0.174603175,1
0.2,76.8,71.4,0,-13.4,2,-3,-2,0.021428571,1
-0.8,37.2,36.2,-0.6,-39.6,1,-3,1,0.052631579,1
0,-51.4,-30.6,0,-9.4,2,7,-6,-0.148837209,0
0.4,15.2,20,-0.8,47.2,1,4,-4,-0.167049808,0
0,-29.2,-26.2,0.8,60,-3,-4,13,-0.265151515,1
0.066666667,6.933333333,2,0.4,-48.46666667,-1,2,0,-0.134615385,0
-0.2,75,59,-1.4,-254.6,-2,-1,2,-0.132706374,0
0.25,26.25,17,0.25,50.5,-3,-5,-13,0.1,0
1,16,-21,0,-57,2,4,-7,0.252941176,1
0,3.5,-9.25,0.25,12.75,-2,2,9,-0.256410256,0
0.2,-38.4,-60.2,1.8,130.4,-1,1,-8,0.123931624,1
0,-8.6,-27.4,0.4,51.2,2,1,1,0.113970588,1
0.4,-19.6,-34.8,-0.4,-21.6,-6,-5,7,0.132352941,1
0.5,26,16.5,-2,-181,4,6,-3,0.047619048,1
-0.6,8.4,10.8,0.2,46.8,-4,-4,14,-0.181571816,1
0,15.8,35.4,-1.8,-59.8,-1,3,14,-0.296153846,0
-1,44.4,36,0.4,3.2,-1,-3,4,-0.09469697,0
-0.3,24.2,19.3,-0.45,-59.85,1,3,7,0.083636364,0
0,9.4,0.4,1,35.2,-4,-3,-10,0.216666667,1
0.2,5.9,10.2,-1.5,-106.8,-1,-1,-6,-0.0875,0
0.4,-64.2,-64.2,0.8,116.4,1,1,2,-0.102272727,0
-0.2,-0.2,1.6,0.4,-44.8,-4,-7,-6,0.038888889,1
0,29.33333333,23.93333333,-2.866666667,-236.9333333,-1,0,11,-0.227424749,0
0.2,37.73333333,26.8,-2.333333333,-196.8666667,-1,5,5,-0.2375,0
-0.6,-51,-50.6,-3,-218.6,-1,-1,0,-0.072727273,0
0,-31.5,-25.5,1,127.5,4,1,-3,0.1,1
0.6,28,24.8,0.2,-130.8,-3,-5,-8,0.234042553,1
-0.6,29,33.4,4.8,417.6,1,-2,3,0.157657658,1
-0.4,-25.4,-11.6,0,-33.4,4,3,9,-0.235042735,0
0.2,6,-15.8,0.4,13.2,-1,0,0,0.025925926,1
0.5,-3.75,-7.75,-1.25,-40.25,4,2,0,0.041666667,1
-0.4,45,67,-0.2,-2,-2,2,4,-0.044117647,0
-0.666666667,57.66666667,83,0.666666667,93,-2,-4,8,0.012820513,0
0,-2.6,9,-0.4,-80.8,-1,3,7,-0.15,0
-0.4,-56.6,-56.2,0.4,24,-1,4,-2,0.146666667,1
-1,48,79.2,1.2,118.2,2,4,7,-0.36,0
0.333333333,-8.666666667,-18.66666667,-1,-37.33333333,2,5,0,-0.056818182,1
-0.6,35.8,46.6,0,38.2,3,3,-1,0.068181818,0
-0.4,18,20.2,0.4,33.6,-7,-4,4,0.025575448,1
0.2,-26.2,-44.6,-1,-57.4,0,4,1,-0.008333333,1
-0.333333333,-4.666666667,-2.333333333,-3.666666667,-274.3333333,-1,-5,9,-0.096638655,0
-0.55,15.2,22.5,1.25,59.05,1,-1,-1,0.131868132,1
0.2,-18.2,-5.6,-1.4,-76.8,1,0,1,-0.024767802,1
-0.333333333,-19.66666667,-24.66666667,-0.333333333,-219.6666667,-2,-1,4,0.066666667,1
-0.2,7.4,23.2,0.6,-36,0,1,-5,0.026806527,0
0,-2.666666667,-8.833333333,-0.5,-307,2,0,-5,0.055555556,1
0.5,21,17,0.5,-39,0,-2,8,-0.222222222,0
-0.3,-6.4,22.4,0.4,291.5,0,0,4,0.016666667,1
0.3,6.2,13,1.4,44.1,0,-7,-4,0.125,0
0.2,6.4,32.2,0.4,53.2,2,0,7,0.09,1
0.2,32.2,9,-0.4,-151.6,2,0,5,-0.057312253,1
0.4,12.6,0,-1,-209.2,2,2,-6,0.077694236,1
0,-20.6,-33,-2,-162.2,1,-2,-4,-0.141025641,0
0.3,17,8.1,0.1,28,2,8,-3,0.388888889,0
0.2,-6.6,1.6,-1.8,-131.6,-4,-7,8,-0.183946488,1
0,-60.9,-69,-0.6,-51,0,1,9,-0.17037037,0
-0.2,-17,-10.4,-0.6,-140.2,2,0,-3,0.109147609,1
1,-34.5,-34.5,0,-3.5,3,3,-2,0.242424242,1
0,-9.6,-7,1.4,132,0,0,9,-0.146153846,0
0.4,-40.4,-34.2,1.8,116.8,-3,0,5,0.091954023,1
0.4,-41,-65.2,-2,-72.8,5,6,3,-0.019607843,1
0,-3.25,5.1,1,154.7,5,7,-2,0.23923445,1
-0.2,12,87.4,5.8,340.8,-5,-4,3,-0.049450549,1
0,6.2,25.2,-0.6,-203.5,-2,3,1,-0.265789474,0
-0.4,42,46.8,0.4,61.4,-5,-4,5,-0.155913978,0
0,17.4,13.8,0.2,141,-2,-1,0,-0.027459954,1
-0.2,31,17.6,1.2,87,-4,-6,1,0.005980066,0
1,-65.4,-104,-0.8,-23.2,-1,0,11,-0.207070707,0
0.75,27.75,30,-0.25,47.25,-5,-10,7,0.346153846,1
-0.4,-38,-37.2,2.2,6.4,-1,0,-4,-0.149758454,0
0.6,17.2,5.4,-1,18.8,-1,4,-3,-0.05,0
-0.333333333,10,28.4,0.133333333,48.33333333,0,1,-2,-0.281746032,0
0.333333333,-32.66666667,-49.66666667,-0.666666667,-37.66666667,1,-2,-1,-0.163157895,0
1,-24.66666667,-39.33333333,-3.333333333,-166.6666667,3,6,-4,0.109090909,1
0,12,6.5,-1,113,2,0,-1,0.027777778,1
-0.6,-13,-17,3,8.4,3,-2,5,0.034482759,1
0.3,64.6,68.8,-0.5,29.1,0,0,-6,-0.02991453,0
0.4,10.6,-18.6,-4.8,-491.4,1,2,5,-0.175,1
0,30,42.4,-1.8,4.8,-3,-4,0,0.0625,1
0.25,3.9,-3.65,0.65,3.4,3,3,0,0.149122807,1
0,0.333333333,0.333333333,-0.666666667,-140,-1,-1,-2,0.023809524,0
-0.2,35.6,77.8,-0.2,-51,2,-1,9,-0.1125,0
0,4,-14,0.5,30,2,4,5,-0.016483516,1
0,-4,-8.5,-1,-166,-1,0,-3,-0.002415459,0
-0.8,-19.4,-8.6,2.4,155.8,-2,-8,13,-0.290322581,0
-0.3,15.5,19,0.4,108.6,2,-1,7,-0.225146199,0
-0.35,11.55,23.35,1.15,124.05,-5,-1,2,-0.133333333,0
0,-19.2,-49.2,-1.4,-165.8,3,3,7,-0.076704545,0
0.4,28.2,24.4,-0.4,16.4,0,4,8,-0.063348416,1
0,44,63.8,-0.8,-89.8,0,-2,7,0.045566502,1
0,7,23.5,-0.5,16.5,1,-2,-4,0.363636364,1
0,9.75,-33,-1,-78.5,-1,0,-9,0.196969697,1
-0.2,-5.6,1.8,-0.2,-63.6,1,0,7,-0.184615385,0
1,10.6,25,-0.9,24.6,-1,-1,-2,0.166666667,1
-0.2,42.8,44.6,-0.4,-19,-1,-2,3,-0.035326087,1
-0.8,19.2,62.6,4,348.8,0,-1,8,-0.02955665,0
0,-23,74,3.2,362.2,-2,1,2,0,1
0,22.8,36,0.2,125,-1,2,1,-0.113095238,0
-0.2,8,100.6,0.8,45.4,1,1,4,-0.029761905,0
0.2,-9,4.9,2,139.3,1,3,-6,0.19924812,1
-0.1,10.5,11.4,1.15,-43.2,4,1,-1,0.179166667,1
0.6,-17.4,-108.8,-2.6,-342.8,-6,-6,-2,-0.143631436,0
0.2,3.6,-14.8,-1.2,8,2,1,-1,0.126666667,1
0,39,36,-1,-265,2,7,-6,0.3,1
0,31.8,28.8,-0.6,-55.6,1,0,-1,-0.009259259,1
0.333333333,30,36.33333333,1,140.6666667,-3,-6,0,0.089285714,1
-1,77.4,105.8,2.6,270.6,-1,-4,6,-0.038095238,0
-0.2,64.2,98.2,0.4,207,6,2,-5,-0.083333333,1
0.25,7.5,26.75,2.5,57.75,3,2,6,-0.013888889,1
0.4,-15.8,-18.2,0.4,16.2,-1,-1,0,-0.025,0
1.4,-53,-40.8,0.2,137.6,3,6,1,-0.114035088,1
0,22.5,19,0,-35.5,-2,-3,-1,-0.19047619,0
0,-43.65,-55.15,-2.15,-168.5,-1,-3,9,-0.311403509,0
0.2,-8.8,20,-1.8,-175.6,0,3,-3,0.013333333,1
0,21,11,0,151,2,4,4,-0.106060606,0
0,-3.4,7,-2,-373.6,1,2,8,0.072463768,0
0,8,9,-0.833333333,-3,0,-1,-1,-0.134615385,0
-0.4,11.2,24.46666667,1.333333333,63.26666667,-5,-7,-3,0.164285714,1
0,8.333333333,-20.33333333,-1,-121.6666667,-1,-4,-2,-0.075,1
-1.55,18.65,45.95,0.75,135.5,2,-4,-4,0.177777778,1
-1,27.2,27.8,0.2,10.1,2,1,10,-0.097435897,0
0,-5.8,-16,-0.8,-148.8,1,0,6,-0.109243697,0
0,3.4,-14.8,-2.2,-173.8,-1,-5,-3,-0.111111111,0
0,-30.8,-49.6,0.2,-180.2,4,4,-6,-0.059259259,1
0.666666667,-4.2,-27.4,-3.8,-288.5333333,-1,-2,-2,0.144736842,1
0.2,14.8,22.4,-0.2,-10.4,1,2,0,-0.024216524,1
0.5,19.5,9.75,-0.5,21.75,1,2,3,0.064102564,1
-0.4,3.4,-2.8,-2,-145.6,3,-4,0,0.034482759,1
-0.2,-1.6,-9.2,-0.2,2.2,5,6,-3,0.05037037,1
-0.2,-18.4,-19.8,0.4,-103.8,2,4,6,0.159090909,1
-0.2,11.15,-4.4,0.8,188,-2,1,-3,0.214285714,1
-1,-28,-25,1.5,52.5,1,1,1,0.153846154,1
0,-13.1,-39.4,-1.25,-36.1,0,-2,5,-0.127272727,0
-0.4,38.4,66,1,65.4,-5,-1,6,0.076850095,1
0,18,21,0.4,6.8,-2,-2,9,-0.187645688,0
0.2,27.8,31.6,-0.8,-25.6,5,4,-5,-0.044444444,1
-0.8,-8.7,49.65,2.15,342.85,3,1,2,-0.023923445,0
0,-14.8,4.6,2,159,-1,0,-3,-0.018292683,0
0.4,-31.6,-48,-0.8,16.6,-7,-7,1,-0.211494253,1
0.2,38.6,-0.6,-1,-325.6,2,-1,-1,-0.054487179,0
0,-2.4,-29.4,-0.6,-101,-5,-3,16,-0.133333333,0
0,5.6,41.4,2.4,219.8,-3,-3,5,0.002771619,0
0,-7.8,16,0,197.2,2,5,0,0.014285714,0
0.4,8.4,10.8,-1,28,3,8,2,-0.049230769,1
-1,-9.5,-5.75,1.5,45.75,0,1,0,-0.275,0
0.333333333,-19.66666667,-10,-1.666666667,-157.6666667,-1,0,3,0.113636364,1
0,-30,-50.2,-2,-165.6,-3,-3,6,-0.24,0
0,-3.8,12.8,0.4,12.4,0,-2,5,0.025083612,1
0,-67,-143,2,265,-4,-1,0,-0.153846154,0
0,24.2,18.4,-1,-89.6,0,-3,0,-0.001567398,1
0.2,-19.2,-33.2,-0.2,-7,2,9,1,-0.242424242,1
0,39,54,1,-38,-6,-2,-3,0.352941176,1
