fighterid,link
302,http://ufcstats.com/fighter-details/29162be25ebef5f0
303,http://ufcstats.com/fighter-details/3fa97913cfd205d3
304,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
305,http://ufcstats.com/fighter-details/60193e707634e560
306,http://ufcstats.com/fighter-details/81d2c551886bd5a1
307,http://ufcstats.com/fighter-details/c06d6b18862f9a53
308,http://ufcstats.com/fighter-details/70dd69b6a703257e
309,http://ufcstats.com/fighter-details/881bf86d4cba8578
310,http://ufcstats.com/fighter-details/4126a78111c0855a
311,http://ufcstats.com/fighter-details/9c393e836a852f30
312,http://ufcstats.com/fighter-details/476fe566d2df676e
313,http://ufcstats.com/fighter-details/eabf206b162b3b83
314,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d
315,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d
316,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
317,http://ufcstats.com/fighter-details/f748267c4ab6c127
318,http://ufcstats.com/fighter-details/e1d40e8782d80bc2
319,http://ufcstats.com/fighter-details/92aed9d16794f42b
320,http://ufcstats.com/fighter-details/46e2011d92463b7e
321,http://ufcstats.com/fighter-details/49edd0d90f60fb7d
322,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
323,http://ufcstats.com/fighter-details/2dbc60c52de126d8
324,http://ufcstats.com/fighter-details/ec13c393d029297d
325,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
326,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c
327,http://ufcstats.com/fighter-details/0c6d9ea8306c029e
328,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
329,http://ufcstats.com/fighter-details/2caf993f53541fa1
330,http://ufcstats.com/fighter-details/8f765fd5775a8873
331,http://ufcstats.com/fighter-details/9c442aaf149ea982
332,http://ufcstats.com/fighter-details/e94085e821bd81de
333,http://ufcstats.com/fighter-details/c21f26bbde777573
334,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
335,http://ufcstats.com/fighter-details/def8166ff24bd237
336,http://ufcstats.com/fighter-details/cb696ebfb6598724
337,http://ufcstats.com/fighter-details/f14cf73e51b29254
338,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3
339,http://ufcstats.com/fighter-details/34b96d52db1d26e6
340,http://ufcstats.com/fighter-details/7498b3ac79a3b948
341,http://ufcstats.com/fighter-details/4729c93ba705a3bf
342,http://ufcstats.com/fighter-details/8c1ca54b5089d199
343,http://ufcstats.com/fighter-details/b2a78df161bd67f9
344,http://ufcstats.com/fighter-details/814e5233e2acf2ee
345,http://ufcstats.com/fighter-details/bb2c3c3a466224af
346,http://ufcstats.com/fighter-details/a13d755965a4ec9f
347,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
348,http://ufcstats.com/fighter-details/595db60957de51d3
349,http://ufcstats.com/fighter-details/3f11fd1751fa83b1
350,http://ufcstats.com/fighter-details/7b3503352cd53abb
351,http://ufcstats.com/fighter-details/86bace9e4ad85542
352,http://ufcstats.com/fighter-details/a474aade8eb3a8f0
353,http://ufcstats.com/fighter-details/02f484417a6fa69d
354,http://ufcstats.com/fighter-details/709fadb644ee3f51
355,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
356,http://ufcstats.com/fighter-details/767755fd74662dbf
357,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
358,http://ufcstats.com/fighter-details/5537efc6e496dd84
359,http://ufcstats.com/fighter-details/b997be68943010fc
360,http://ufcstats.com/fighter-details/13a0275fa13c4d26
361,http://ufcstats.com/fighter-details/a67d071163962af8
362,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
363,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
364,http://ufcstats.com/fighter-details/64b12fe31be7560c
365,http://ufcstats.com/fighter-details/0d65c432720accb9
366,http://ufcstats.com/fighter-details/6a1901c62ab3870f
367,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
368,http://ufcstats.com/fighter-details/971246648e162f0d
369,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
370,http://ufcstats.com/fighter-details/27b388f0aab49780
371,http://ufcstats.com/fighter-details/30cad5a751adcb48
372,http://ufcstats.com/fighter-details/327d5f279895110d
373,http://ufcstats.com/fighter-details/093e1f5bb73850be
374,http://ufcstats.com/fighter-details/32ab52e5de93092d
375,http://ufcstats.com/fighter-details/6d68c1afe954f121
376,http://ufcstats.com/fighter-details/abcf2cc6efc42031
377,http://ufcstats.com/fighter-details/8fd808923cffff82
378,http://ufcstats.com/fighter-details/5ec591b78349ba7e
379,http://ufcstats.com/fighter-details/ffd3224638c01b57
380,http://ufcstats.com/fighter-details/cad24459b28592ca
381,http://ufcstats.com/fighter-details/6add18754930182b
382,http://ufcstats.com/fighter-details/7478b7f959ba61f5
383,http://ufcstats.com/fighter-details/148bb103cfbf123e
384,http://ufcstats.com/fighter-details/f9ab66e67240db7b
385,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac
386,http://ufcstats.com/fighter-details/b12fb759e02378de
387,http://ufcstats.com/fighter-details/a6eb54ae17a551be
388,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb
389,http://ufcstats.com/fighter-details/f14f644d41ade29f
390,http://ufcstats.com/fighter-details/48a9a128784d53d1
391,http://ufcstats.com/fighter-details/323d4ca260dfa0ba
392,http://ufcstats.com/fighter-details/351c4ec637380ad5
393,http://ufcstats.com/fighter-details/f2b3f4ef3f780168
394,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
395,http://ufcstats.com/fighter-details/d964a59c48381cb6
396,http://ufcstats.com/fighter-details/d8c811df0386d5e8
397,http://ufcstats.com/fighter-details/a2d342ffc83913ed
398,http://ufcstats.com/fighter-details/147e70aa6cc48cfc
399,http://ufcstats.com/fighter-details/7eaa5e31c2dd86aa
400,http://ufcstats.com/fighter-details/22e07d3da1aa3475
401,http://ufcstats.com/fighter-details/d3f89fa685bd8420
402,http://ufcstats.com/fighter-details/450bcab0968562c4
403,http://ufcstats.com/fighter-details/83455a9d17f57dae
404,http://ufcstats.com/fighter-details/53c10176e3bc7416
405,http://ufcstats.com/fighter-details/e375cb5caf4717b6
406,http://ufcstats.com/fighter-details/8bd4200561c77a62
407,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce
408,http://ufcstats.com/fighter-details/c0ac37a4a1133da9
409,http://ufcstats.com/fighter-details/06734ca9d88dec3a
410,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
411,http://ufcstats.com/fighter-details/88be62d6c1e6dadb
412,http://ufcstats.com/fighter-details/1091d4d957141094
413,http://ufcstats.com/fighter-details/d9c6f19f958643e9
414,http://ufcstats.com/fighter-details/0fd5f4b838e890cc
415,http://ufcstats.com/fighter-details/28d421729451c8ca
416,http://ufcstats.com/fighter-details/da22387a0407a2dc
417,http://ufcstats.com/fighter-details/beecb672a279223e
418,http://ufcstats.com/fighter-details/d25240135aee03e5
419,http://ufcstats.com/fighter-details/3753714927f18437
420,http://ufcstats.com/fighter-details/69037fc7730e4225
421,http://ufcstats.com/fighter-details/8eb046f83e82bf26
422,http://ufcstats.com/fighter-details/150ff4cc642270b9
423,http://ufcstats.com/fighter-details/029eaff01e6bb8f0
424,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
425,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
426,http://ufcstats.com/fighter-details/82a5152216251682
427,http://ufcstats.com/fighter-details/98a58c26c5b1ed17
428,http://ufcstats.com/fighter-details/511e82663651438d
429,http://ufcstats.com/fighter-details/4148802ae4a50768
430,http://ufcstats.com/fighter-details/60425d07ef4b91a7
431,http://ufcstats.com/fighter-details/18d01f7f8338ae72
432,http://ufcstats.com/fighter-details/3920d0cc288f9b0d
433,http://ufcstats.com/fighter-details/0cd0456d6029cec2
434,http://ufcstats.com/fighter-details/a01a62132460a98d
